Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,OrganizationalEntity,ProjectNumber,TaskNumber,dec_id_0,ActivityNumber,TotalDeclared,RequestedAmount_0,Overspent,travel permit number,DeclarationNumber_0,id,RequestedBudget,BudgetNumber,OverspentAmount,id,org:role,dec_id_5,dec_id_6,dec_id_3,dec_id_4,dec_id_1,dec_id_2,DeclarationNumber_10,RequestedAmount_16,RequestedAmount_14,RequestedAmount_15,dec_id_9,RequestedAmount_12,DeclarationNumber_14,DeclarationNumber_13,RequestedAmount_13,dec_id_7,RequestedAmount_10,DeclarationNumber_12,dec_id_8,DeclarationNumber_11,RequestedAmount_11,DeclarationNumber_16,DeclarationNumber_15,DeclarationNumber_8,DeclarationNumber_9,DeclarationNumber_4,DeclarationNumber_5,DeclarationNumber_6,DeclarationNumber_7,RequestedAmount_4,DeclarationNumber_1,RequestedAmount_3,DeclarationNumber_2,RequestedAmount_2,RequestedAmount_1,DeclarationNumber_3,RequestedAmount_8,RequestedAmount_7,RequestedAmount_6,RequestedAmount_5,RequestedAmount_9,dec_id_16,dec_id_13,dec_id_12,dec_id_15,dec_id_14,dec_id_11,dec_id_10,Activity_1,Activity_0,RfpNumber_0,OrganizationalEntity_0,Rfp_id_0,RfpNumber_1,OrganizationalEntity_1,Cost Type_1,Cost Type_0,Task_1,Task_0,Project_0,Rfp_id_1,Project_1,Activity_3,Activity_2,Cost Type_3,Cost Type_2,RfpNumber_2,RfpNumber_3,OrganizationalEntity_2,OrganizationalEntity_3,Project_2,Project_3,Rfp_id_3,Rfp_id_2,Task_3,Task_2,Rfp_id_10,Rfp_id_11,Rfp_id_12,Rfp_id_13,Rfp_id_14,Project_11,Project_12,Project_10,Project_13,Project_14,Cost Type_7,Cost Type_6,Cost Type_9,Cost Type_8,Cost Type_5,Cost Type_4,OrganizationalEntity_8,OrganizationalEntity_9,Task_10,OrganizationalEntity_6,Task_11,OrganizationalEntity_7,Task_12,Task_13,Task_14,RfpNumber_10,RfpNumber_12,RfpNumber_11,OrganizationalEntity_4,Project_6,RfpNumber_14,OrganizationalEntity_5,Project_7,RfpNumber_13,Project_8,Project_9,Project_4,Project_5,Activity_12,Activity_11,Activity_14,Activity_13,Activity_10,OrganizationalEntity_14,OrganizationalEntity_13,RfpNumber_8,RfpNumber_9,RfpNumber_6,RfpNumber_7,RfpNumber_4,RfpNumber_5,OrganizationalEntity_12,OrganizationalEntity_11,OrganizationalEntity_10,Rfp_id_7,Rfp_id_8,Rfp_id_5,Rfp_id_6,Rfp_id_4,Rfp_id_9,Activity_9,Activity_8,Activity_5,Activity_4,Activity_7,Activity_6,Cost Type_13,Cost Type_14,Cost Type_10,Cost Type_11,Cost Type_12,Task_5,Task_4,Task_9,Task_8,Task_7,Task_6
travel permit 76455,Start trip,STAFF MEMBER,00:00.0,Variant 24,24,organizational unit 65458,UNKNOWN,UNKNOWN,declaration 76457,activity 46005,39.66456145,56,FALSE,travel permit number 76456,declaration number 76458,travel permit 76455,41.61344466,budget 922,0,rv_travel permit 76455_6,EMPLOYEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76455,End trip,STAFF MEMBER,00:00.0,Variant 24,24,organizational unit 65458,UNKNOWN,UNKNOWN,declaration 76457,activity 46005,39.66456145,56,FALSE,travel permit number 76456,declaration number 76458,travel permit 76455,41.61344466,budget 922,0,rv_travel permit 76455_7,EMPLOYEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76455,Permit SUBMITTED by EMPLOYEE,STAFF MEMBER,32:10.0,Variant 24,24,organizational unit 65458,UNKNOWN,UNKNOWN,declaration 76457,activity 46005,39.66456145,56,FALSE,travel permit number 76456,declaration number 76458,travel permit 76455,41.61344466,budget 922,0,st_step 76459_0,EMPLOYEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76455,Permit FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,32:28.0,Variant 24,24,organizational unit 65458,UNKNOWN,UNKNOWN,declaration 76457,activity 46005,39.66456145,56,FALSE,travel permit number 76456,declaration number 76458,travel permit 76455,41.61344466,budget 922,0,st_step 76460_0,SUPERVISOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76455,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,38:14.0,Variant 24,24,organizational unit 65458,UNKNOWN,UNKNOWN,declaration 76457,activity 46005,39.66456145,56,FALSE,travel permit number 76456,declaration number 76458,travel permit 76455,41.61344466,budget 922,0,st_step 76461_0,EMPLOYEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76455,Declaration FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,40:17.0,Variant 24,24,organizational unit 65458,UNKNOWN,UNKNOWN,declaration 76457,activity 46005,39.66456145,56,FALSE,travel permit number 76456,declaration number 76458,travel permit 76455,41.61344466,budget 922,0,st_step 76462_0,SUPERVISOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76455,Request Payment,SYSTEM,03:43.0,Variant 24,24,organizational unit 65458,UNKNOWN,UNKNOWN,declaration 76457,activity 46005,39.66456145,56,FALSE,travel permit number 76456,declaration number 76458,travel permit 76455,41.61344466,budget 922,0,fd_declaration 76457_17,UNDEFINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76455,Payment Handled,SYSTEM,30:53.0,Variant 24,24,organizational unit 65458,UNKNOWN,UNKNOWN,declaration 76457,activity 46005,39.66456145,56,FALSE,travel permit number 76456,declaration number 76458,travel permit 76455,41.61344466,budget 922,0,fd_declaration 76457_18,UNDEFINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76665,Start trip,STAFF MEMBER,00:00.0,Variant 24,24,organizational unit 65458,project 73472,task 427,declaration 76667,UNKNOWN,346.5449029,612,FALSE,travel permit number 76666,declaration number 76668,travel permit 76665,795.5373072,budget 1644,-329.5093608,rv_travel permit 76665_6,EMPLOYEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76665,End trip,STAFF MEMBER,00:00.0,Variant 24,24,organizational unit 65458,project 73472,task 427,declaration 76667,UNKNOWN,346.5449029,612,FALSE,travel permit number 76666,declaration number 76668,travel permit 76665,795.5373072,budget 1644,-329.5093608,rv_travel permit 76665_7,EMPLOYEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76665,Permit SUBMITTED by EMPLOYEE,STAFF MEMBER,42:17.0,Variant 24,24,organizational unit 65458,project 73472,task 427,declaration 76667,UNKNOWN,346.5449029,612,FALSE,travel permit number 76666,declaration number 76668,travel permit 76665,795.5373072,budget 1644,-329.5093608,st_step 76670_0,EMPLOYEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76665,Permit FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,42:22.0,Variant 24,24,organizational unit 65458,project 73472,task 427,declaration 76667,UNKNOWN,346.5449029,612,FALSE,travel permit number 76666,declaration number 76668,travel permit 76665,795.5373072,budget 1644,-329.5093608,st_step 76669_0,SUPERVISOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76665,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,37:27.0,Variant 24,24,organizational unit 65458,project 73472,task 427,declaration 76667,UNKNOWN,346.5449029,612,FALSE,travel permit number 76666,declaration number 76668,travel permit 76665,795.5373072,budget 1644,-329.5093608,st_step 76671_0,EMPLOYEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76665,Declaration FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,46:23.0,Variant 24,24,organizational unit 65458,project 73472,task 427,declaration 76667,UNKNOWN,346.5449029,612,FALSE,travel permit number 76666,declaration number 76668,travel permit 76665,795.5373072,budget 1644,-329.5093608,st_step 76672_0,SUPERVISOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76665,Request Payment,SYSTEM,14:45.0,Variant 24,24,organizational unit 65458,project 73472,task 427,declaration 76667,UNKNOWN,346.5449029,612,FALSE,travel permit number 76666,declaration number 76668,travel permit 76665,795.5373072,budget 1644,-329.5093608,fd_declaration 76667_17,UNDEFINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 76665,Payment Handled,SYSTEM,31:02.0,Variant 24,24,organizational unit 65458,project 73472,task 427,declaration 76667,UNKNOWN,346.5449029,612,FALSE,travel permit number 76666,declaration number 76668,travel permit 76665,795.5373072,budget 1644,-329.5093608,fd_declaration 76667_18,UNDEFINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 73652,Start trip,STAFF MEMBER,00:00.0,Variant 24,24,organizational unit 65455,UNKNOWN,UNKNOWN,declaration 73654,UNKNOWN,56.97276881,44,TRUE,travel permit number 73653,declaration number 73655,travel permit 73652,51.79342619,budget 6198,5.179342619,rv_travel permit 73652_6,EMPLOYEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel permit 73652,End trip,STAFF MEMBER,00:00.0,Variant 24,24,organizational unit 65455,UNKNOWN,UNKNOWN,declaration 73654,UNKNOWN,56.97276881,44,TRUE,travel permit number 73653,declaration number 73655,travel permit 73652,51.79342619,budget 6198,5.179342619,rv_travel permit 73652_7,EMPLOYEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
